timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization,gdp_growth,electricity_price_index
2024-01-01 00:00:00,68.31870375678959,76.42140147918906,5.906144017578485,9.443619386614412,Microsoft Azure,,,8.0,32.0,0.32,70.74951307350942,38.14063800321968,96.77038332673602,,0.6831870375678959,4.9,0.14
2024-01-01 01:00:00,91.20033663231958,84.55701788219122,2.4395519942781614,,Microsoft Azure,Japan East,Standard_D4s_v3,4.0,32.0,,89.20734100728106,,115.90332208763074,0.2670345856594317,,1.2,0.22
2024-01-01 02:00:00,59.24533780213466,70.53073173799615,5.970084695828867,12.19390964131683,Microsoft Azure,Central India,Standard_E8s_v4,8.0,64.0,,62.6309559828931,,112.70765625516808,0.312815383595271,0.5924533780213466,,0.1
2024-01-01 03:00:00,73.06404117361994,57.34289846044763,16.190774530802702,4.924023007256231,Microsoft Azure,,Standard_E8s_v4,8.0,64.0,0.48,68.34769835966824,24.374511608812558,124.92153089672809,0.3998064333020483,0.7306404117361994,,
2024-01-01 04:00:00,80.76315765649561,88.9186485907719,7.0765776420579085,3.8327492761048303,Microsoft Azure,West Europe,Standard_D4s_v3,4.0,,0.24,83.20980493677848,24.22657522110923,97.98521834882234,0.2403511571857309,0.8076315765649561,,0.24
2024-01-01 05:00:00,90.41990269526198,91.12664338005392,,,Microsoft Azure,Southeast Asia,Standard_D2s_v3,2.0,8.0,0.08,90.63192490069956,22.934773683620136,147.49117439462051,0.0824629512580789,,4.9,0.14
2024-01-01 06:00:00,34.79712618196283,94.68390182467212,7.608087348767018,14.80224160851154,Microsoft Azure,Japan East,Standard_F8s_v2,,16.0,0.16,52.76315887477561,,128.32231101222322,0.0679239903071914,0.3479712618196283,1.2,
2024-01-01 07:00:00,76.75856264957675,92.26307130254958,25.060233887089037,,Microsoft Azure,Southeast Asia,Standard_D2s_v3,8.0,32.0,0.32,81.4099152454686,23.651228295875534,,0.280015236545656,0.7675856264957674,4.9,0.14
2024-01-01 08:00:00,90.8726847534741,81.0447855289425,5.444537902669421,15.552004769509605,Microsoft Azure,Japan East,Standard_E8s_v4,8.0,32.0,0.32,,31.68188292475627,85.03147795985356,0.3547669612775629,0.9087268475347412,1.2,
2024-01-01 09:00:00,67.14816192095557,82.51892588200946,10.021775186954036,8.267792660097927,Microsoft Azure,Central India,Standard_E8s_v4,4.0,16.0,0.16,71.75939110927173,13.75859161949224,128.63794859721915,0.1181807649808818,,,0.1
2024-01-01 10:00:00,78.16946679597334,,11.837082068466268,2.743146675284375,Microsoft Azure,Japan East,,,64.0,0.48,74.73113459660792,34.85159356390688,,0.4577603975572198,0.7816946679597333,1.2,0.22
2024-01-01 11:00:00,67.01742560153676,59.064348370051086,7.290488369691005,10.10408079804991,Microsoft Azure,East US,Standard_D2s_v3,,16.0,0.12,,30.4023263390928,,0.0900714200084654,,,0.12
2024-01-01 12:00:00,47.91665509045,,4.7078759866048125,6.957915466169365,Microsoft Azure,Southeast Asia,Standard_D4s_v3,4.0,,,,,125.42341815405857,0.1310999683274712,0.4791665509045,4.9,0.14
2024-01-01 13:00:00,67.8203429214938,60.1170910602384,4.935975074341567,6.90028190727255,Microsoft Azure,East US,Standard_D2s_v3,8.0,64.0,0.48,65.50936736311718,29.237616057129493,,0.3646021635459507,0.678203429214938,2.3,0.12
2024-01-01 14:00:00,58.1847574245156,,5.237797433653905,14.086176841226395,Microsoft Azure,East US,Standard_D2s_v3,8.0,64.0,0.48,58.86428665453911,29.995069638136545,106.93846301168544,,0.581847574245156,,0.12
