timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization,gdp_growth,electricity_price_index
01-01-2024 00:00,68.31870376,76.42140148,5.906144018,9.443619387,Microsoft Azure,europe-west,Standard_D2s_v3,8,32,0.32,70.74951307,38.140638,96.77038333,0.118590292,0.683187038,4.9,0.14
01-01-2024 01:00,91.20033663,84.55701788,2.439551994,10.81876451,Microsoft Azure,asia-east,Standard_D4s_v3,4,32,0.373333333,89.20734101,33.55192921,115.9033221,0.267034586,0.637820208,1.2,0.22
01-01-2024 02:00,59.2453378,70.53073174,5.970084696,12.19390964,Microsoft Azure,asia-south,Standard_E8s_v4,8,64,0.426666667,62.63095598,28.96322041,112.7076563,0.312815384,0.592453378,2.125,0.1
01-01-2024 03:00,73.06404117,57.34289846,16.19077453,4.924023007,Microsoft Azure,europe-west,Standard_E8s_v4,8,64,0.48,68.34769836,24.37451161,124.9215309,0.399806433,0.730640412,3.05,0.17
01-01-2024 04:00,80.76315766,88.91864859,7.076577642,3.832749276,Microsoft Azure,europe-west,Standard_D4s_v3,4,36,0.24,83.20980494,24.22657522,97.98521835,0.240351157,0.807631577,3.975,0.24
01-01-2024 05:00,90.4199027,91.12664338,7.342332495,9.317495442,Microsoft Azure,asia-southeast,Standard_D2s_v3,2,8,0.08,90.6319249,22.93477368,147.4911744,0.082462951,0.577801419,4.9,0.14
01-01-2024 06:00,34.79712618,94.68390182,7.608087349,14.80224161,Microsoft Azure,asia-east,Standard_F8s_v2,5,16,0.16,52.76315887,23.29300099,128.322311,0.06792399,0.347971262,1.2,0.14
01-01-2024 07:00,76.75856265,92.2630713,25.06023389,15.17712319,Microsoft Azure,asia-southeast,Standard_D2s_v3,8,32,0.32,81.40991525,23.6512283,106.6768945,0.280015237,0.767585626,4.9,0.14
01-01-2024 08:00,90.87268475,81.04478553,5.444537903,15.55200477,Microsoft Azure,asia-east,Standard_E8s_v4,8,32,0.32,76.58465318,31.68188292,85.03147796,0.354766961,0.908726848,1.2,0.12
01-01-2024 09:00,67.14816192,82.51892588,10.02177519,8.26779266,Microsoft Azure,asia-south,Standard_E8s_v4,4,16,0.16,71.75939111,13.75859162,128.6379486,0.118180765,0.845210758,1.2,0.1
01-01-2024 10:00,78.1694668,70.79163713,11.83708207,2.743146675,Microsoft Azure,asia-east,Standard_D2s_v3,4,64,0.48,74.7311346,34.85159356,127.5664384,0.457760398,0.781694668,1.2,0.22
01-01-2024 11:00,67.0174256,59.06434837,7.29048837,10.1040808,Microsoft Azure,us-east,Standard_D2s_v3,4,16,0.12,71.65721219,30.40232634,126.4949283,0.09007142,0.630430609,3.05,0.12
01-01-2024 12:00,47.91665509,59.59071972,4.707875987,6.957915466,Microsoft Azure,asia-southeast,Standard_D4s_v3,4,40,0.3,68.58328977,29.8199712,125.4234182,0.131099968,0.479166551,4.9,0.14
01-01-2024 13:00,67.82034292,60.11709106,4.935975074,6.900281907,Microsoft Azure,us-east,Standard_D2s_v3,8,64,0.48,65.50936736,29.23761606,116.1809406,0.364602164,0.678203429,2.3,0.12
01-01-2024 14:00,58.18475742,54.41510959,5.237797434,14.08617684,Microsoft Azure,us-east,Standard_D2s_v3,8,64,0.48,58.86428665,29.99506964,106.938463,0.223072764,0.581847574,2.3,0.12
01-01-2024 15:00,60.67214617,48.71312811,5.490384715,13.43805463,Microsoft Azure,us-east,Standard_E8s_v4,2,16,0.12,57.08444075,31.4577752,146.6323117,0.081543364,0.606721462,2.3,0.12
01-01-2024 16:00,48.36098411,38.06645303,14.75784748,12.78993242,Microsoft Azure,europe-west,Standard_D2s_v3,8,24,0.22,45.27262478,32.92048076,137.5805555,0.173325767,0.483609841,2.3,0.12
01-01-2024 17:00,52.60189565,58.77907013,5.903915924,6.612270733,Microsoft Azure,asia-east,Standard_E8s_v4,6,32,0.32,54.455048,34.38318632,128.5287994,0.205357801,0.526018957,1.2,0.22
01-01-2024 18:00,73.93257594,42.78762961,7.285974164,9.902596124,Microsoft Azure,asia-south,Standard_F8s_v2,4,16,0.24,50.70197638,32.79056377,116.5682046,0.130121334,0.513416441,6.2,0.1
01-01-2024 19:00,50.08139257,39.63976652,8.668032404,8.98103766,Microsoft Azure,europe-west,Standard_E8s_v4,4,16,0.16,46.94890475,31.19794121,123.5170957,0.089745855,0.500813926,2.3,0.12
01-01-2024 20:00,23.41994914,34.21713981,12.37338474,11.01348483,Microsoft Azure,europe-west,Standard_D2s_v3,4,16,0.16,26.65910634,48.50989657,130.4659867,0.046465179,0.234199491,1.8,0.24
01-01-2024 21:00,38.19981171,50.15046644,8.264170816,13.04593201,Microsoft Azure,asia-east,Standard_D2s_v3,8,64,0.48,41.78500813,65.82185193,133.8112457,0.223698097,0.381998117,1.2,0.22
01-01-2024 22:00,65.28454161,43.11718281,7.095029301,9.876052184,Microsoft Azure,asia-southeast,Standard_F8s_v2,6,32,0.32,58.63433397,53.51821798,137.1565048,0.238158008,0.652845416,4.9,0.17
01-01-2024 23:00,31.25876029,59.26406227,3.079323787,7.493144456,Microsoft Azure,us-east,Standard_D2s_v3,4,32,0.24,39.66035088,41.21458404,150.2599658,0.084023548,0.616445741,2.3,0.12
02-01-2024 00:00,58.00460657,76.36122589,13.39143268,2.736899823,Microsoft Azure,asia-southeast,Standard_D4s_v3,8,24,0.2,63.51159237,36.49163452,108.8875314,0.211600805,0.580046066,4.9,0.14
