timestamp,target,forecast,region,service_type
2024-01-02 00:00:00,63.51159237,63.561916,asia-south,Standard_D4s_v3
2024-01-02 01:00:00,43.73402991,59.937443,asia-south,Standard_D4s_v3
2024-01-02 02:00:00,91.05838247,89.29361,asia-south,Standard_D4s_v3
2024-01-02 03:00:00,50.5525916,53.11158,asia-south,Standard_D4s_v3
2024-01-02 04:00:00,85.25522987,81.57844,asia-south,Standard_D4s_v3
2024-01-02 05:00:00,88.77992258,84.004524,asia-south,Standard_D4s_v3
2024-01-02 06:00:00,75.77716751,78.18307,asia-south,Standard_D4s_v3
2024-01-02 07:00:00,73.77185942,73.88433,asia-south,Standard_D4s_v3
2024-01-02 08:00:00,76.83084644,74.93357,asia-south,Standard_D4s_v3
2024-01-02 09:00:00,67.0136563,69.08643,asia-south,Standard_D4s_v3
2024-01-02 10:00:00,89.28168209,77.82158,asia-south,Standard_D4s_v3
2024-01-02 11:00:00,65.62590844,66.091866,asia-south,Standard_D4s_v3
2024-01-02 12:00:00,50.85407839,54.46938,asia-south,Standard_D4s_v3
2024-01-02 13:00:00,59.37142868,57.81317,asia-south,Standard_D4s_v3
2024-01-02 14:00:00,49.9866921,50.495842,asia-south,Standard_D4s_v3
2024-01-02 15:00:00,46.56175555,46.989788,asia-south,Standard_D4s_v3
2024-01-02 16:00:00,30.67537623,36.26278,asia-south,Standard_D4s_v3
2024-01-02 17:00:00,51.82575321,50.363445,asia-south,Standard_D4s_v3
2024-01-02 18:00:00,47.56120579,38.76679,asia-south,Standard_D4s_v3
2024-01-02 19:00:00,43.29665836,42.87553,asia-south,Standard_D4s_v3
2024-01-02 20:00:00,44.48593015,48.282177,asia-south,Standard_D4s_v3
2024-01-02 21:00:00,45.67520195,46.4186,asia-south,Standard_D4s_v3
2024-01-02 22:00:00,68.8432768,67.09597,asia-south,Standard_D4s_v3
2024-01-02 23:00:00,44.49534889,49.52469,asia-south,Standard_D4s_v3
2024-01-03 00:00:00,66.98726153,65.74079,asia-south,Standard_D4s_v3
2024-01-03 01:00:00,43.27152913,51.562965,asia-south,Standard_D4s_v3
2024-01-03 02:00:00,57.92808336,76.40986,asia-south,Standard_D4s_v3
2024-01-03 03:00:00,72.5846376,71.12266,asia-south,Standard_D4s_v3
2024-01-03 04:00:00,80.90636568,81.88561,asia-south,Standard_D4s_v3
2024-01-03 05:00:00,75.98710516,76.434654,asia-south,Standard_D4s_v3
2024-01-03 06:00:00,78.22343831,79.62577,asia-south,Standard_D4s_v3
2024-01-03 07:00:00,89.84918002,85.7413,asia-south,Standard_D4s_v3
2024-01-03 08:00:00,77.09495117,76.90234,asia-south,Standard_D4s_v3
2024-01-03 09:00:00,85.05719867,81.535904,asia-south,Standard_D4s_v3
2024-01-03 10:00:00,76.50591136,77.27499,asia-south,Standard_D4s_v3
2024-01-03 11:00:00,68.04196676,63.507202,asia-south,Standard_D4s_v3
2024-01-03 12:00:00,48.71570782,49.44635,asia-south,Standard_D4s_v3
2024-01-03 13:00:00,25.7248429,30.50159,asia-south,Standard_D4s_v3
2024-01-03 14:00:00,62.66234181,55.196278,asia-south,Standard_D4s_v3
2024-01-03 15:00:00,55.46531868,52.37532,asia-south,Standard_D4s_v3
